GeoID,Mean household income (dollars),Civilian noninstitutionalized population with private insurance,Population in labour force,Population with determined poverty status,Population with 65 years and over,Population,Total households,School Employees,Population with bachelor’s degree or higher,Married males,Married females,Average household size,Vacant housing units,Median Gross Rent (dollars),Housing units with 3 or more vehicles available
BK1302,56711.0,21423,18639,47458,13441,48372,20100,10169,13503,17302,23023,2.34,1437,880.0,297
BK1303,64740.0,12018,13544,30257,8124,30583,12960,5740,11357,11535,13946,2.33,977,1268.0,38
BK1401,74468.0,34883,36470,67310,7632,67740,25445,17694,14382,23962,30985,2.64,1776,1431.0,377
BK1402,90556.0,21138,20563,39840,5491,39988,14718,10385,11843,15542,16454,2.69,799,1455.0,311
BK1403,89791.0,26398,22129,49588,8235,49914,17288,15495,14715,17898,19790,2.86,1196,1388.0,391
BK1501,91658.0,28158,23297,51250,7715,51364,17668,13333,12500,18715,20238,2.9,1845,1465.0,501
BK1502,94426.0,23889,19594,40999,7584,41116,14744,9845,11373,16155,16903,2.78,1163,1472.0,534
BK1503,89064.0,37096,32699,64482,13510,65167,25483,13619,20137,26305,28980,2.51,2314,1296.0,705
BK1601,59831.0,18981,16404,36519,3753,36805,13968,9560,5021,13631,15220,2.57,1207,1219.0,235
BK1602,39937.0,15485,19704,47428,6627,47971,20117,12242,3687,14887,24287,2.12,2399,687.0,187
BK1701,71699.0,21318,23096,43698,5631,44162,16245,11629,8144,16377,19993,2.68,2557,1389.0,142
BK1702,78762.0,20249,17993,34993,6524,35118,12408,9259,6727,12361,16770,2.83,982,1394.0,325
BK1703,72575.0,21478,19928,39069,6811,39642,14742,9402,6393,13968,18522,2.63,1684,1346.0,344
BK1704,60509.0,18876,18548,35958,5646,36660,14812,8692,6110,13163,17317,2.42,1342,1262.0,310
BK1801,95088.0,46412,35739,70313,11177,70560,23191,20122,15762,25707,31731,3.04,1523,1422.0,1155
BK1802,123388.0,34247,21807,46153,8776,46179,16052,11626,12948,17333,19498,2.88,1453,1651.0,1282
BK1803,86618.0,56362,45151,88088,11876,88884,29541,24565,16933,30201,41449,2.97,2116,1420.0,1308
BX0101,38976.0,16412,22210,52285,4510,52835,19355,16154,3311,18306,21784,2.67,1002,803.0,141
BX0102,48942.0,13071,18114,42643,3816,42877,14837,14199,3365,14404,17893,2.85,561,1040.0,100
BX0201,43076.0,4143,5662,14513,1465,15397,4800,4578,1314,5653,5981,2.98,581,1094.0,96
